Municipio;Densidade;Area;Populacao;NivelDensidade;CasosCovid19
Iranduba (AM);18,42;2214,3;40787;Baixo;0
Itacoatiara (AM);9,77;8892;86875;Baixo;4
Itamarati (AM);0,32;25276;8088;Baixo;0
Itapiranga (AM);1,94;4231,1;8208;Baixo;0
Japurá (AM);0,13;55791,9;7253;Baixo;0
Juruá (AM);0,56;19400,7;10864;Baixo;0
Jutaí (AM);0,26;69551,9;18083;Baixo;0
Lábrea (AM);0,55;68234;37529;Baixo;0
Manacapuru (AM);11,62;7330,1;85176;Baixo;12
Manaquiri (AM);5,73;3975,8;22781;Baixo;0
Manaus (AM);158,06;11401,1;1802058;Alto;401
Manicoré (AM);0,97;48282,7;46834;Baixo;0
Maraã (AM);1,04;16910,4;17587;Baixo;0
Maués (AM);1,31;39989,9;52387;Baixo;0
Nhamundá (AM);1,3;14105,6;18337;Baixo;0
Nova Olinda do Norte (AM);5,47;5608,6;30679;Baixo;0
Novo Airão (AM);0,39;37771,3;14731;Baixo;1
Novo Aripuanã (AM);0,52;41188,5;21418;Baixo;0
Parintins (AM);17,14;5952,4;102024;Baixo;7
Pauini (AM);0,44;41610,3;18309;Baixo;0
Presidente Figueiredo (AM);1,07;25422,3;27202;Baixo;0
Rio Preto da Eva (AM);4,42;5813,2;25694;Baixo;0
Santa Isabel do Rio Negro (AM);0,29;62846,4;18225;Baixo;0
Santo Antônio do Içá (AM);1,99;12307,2;24491;Baixo;5
São Gabriel da Cachoeira (AM);0,35;109183,5;38214;Baixo;0
São Paulo de Olivença (AM);1,59;19745,9;31396;Baixo;0
São Sebastião do Uatumã (AM);1;10741,1;10741;Baixo;0
Silves (AM);2,25;3748,8;8435;Baixo;0
Tabatinga (AM);16,21;3224,9;52276;Baixo;0
Tapauá (AM);0,21;89325,3;18758;Baixo;0
Tefé (AM);2,59;23704,5;61395;Baixo;0
Tonantins (AM);2,66;6432,7;17111;Baixo;3
Uarini (AM);1,16;10246,2;11886;Baixo;0
Urucará (AM);0,61;27903,4;17021;Baixo;0
Urucurituba (AM);6,14;2906,7;17847;Baixo;0
Amajari (RR);0,33;28472,3;9396;Baixo;0
Alto Alegre (RR);0,64;25567;16363;Baixo;0
Boa Vista (RR);49,99;5687;284293;Médio;53
Bonfim (RR);1,35;8095,4;10929;Baixo;7
Cantá (RR);1,81;7664,8;13873;Baixo;3
Caracaraí (RR);0,39;47410,9;18490;Baixo;0
Caroebe (RR);0,67;12066,2;8084;Baixo;0
Iracema (RR);0,6;14409,6;8646;Baixo;0
Mucajaí (RR);1,19;12461,2;14829;Baixo;0
Normandia (RR);1,28;6966,8;8918;Baixo;0
